,Cloudiness,Country,Date,Humidity,Lat,Lng,MaxTemp,WindSpeed
520,8,RU,2018-10-09 00:41:49,94,65.44,52.15,269.006,2.66
521,1,US,2018-10-09 00:15:00,40,32.94,-103.35,295.15,4.6
522,92,BS,2018-10-09 00:49:03,100,26.54,-77.06,298.806,8.86
523,92,FO,2018-10-09 00:20:00,87,62.23,-6.59,280.15,4.1
524,80,VN,2018-10-09 00:41:51,94,10.21,106.33,300.606,1.21
525,8,EG,2018-10-09 00:41:51,87,31.35,27.25,290.306,1.31
526,36,NG,2018-10-09 00:41:52,94,9.92,8.9,292.506,1.31
527,0,DZ,2018-10-09 00:00:00,29,27.87,-0.29,297.15,3.1
528,0,ID,2018-10-09 00:41:52,92,-9.11,124.89,299.756,1.86
529,0,AU,2018-10-09 00:00:00,49,-25.24,130.99,296.15,5.7
530,90,US,2018-10-08 23:54:00,80,42.73,-73.69,289.85,4.1
531,20,PY,2018-10-09 00:41:53,96,-26.98,-56.83,294.806,1.76
532,0,IN,2018-10-09 00:41:54,92,25.52,90.21,293.406,2.36
533,12,ID,2018-10-09 00:41:54,92,4.47,97.97,294.156,0.96
534,88,MV,2018-10-09 00:41:55,96,0.53,72.93,302.406,7.66
535,20,BR,2018-10-09 00:00:00,69,-5.81,-35.21,299.15,5.7
536,36,EC,2018-10-09 00:41:55,93,-3.4,-78.58,291.706,0.91
537,1,US,2018-10-08 23:53:00,82,59.64,-151.54,283.75,1.5
538,75,US,2018-10-08 23:55:00,54,33.51,-86.89,300.95,2.1
539,92,PG,2018-10-09 00:41:57,100,-4.34,152.27,298.506,3.61
540,20,MX,2018-10-08 23:47:00,39,23.45,-110.23,302.15,5.1
541,90,US,2018-10-09 00:13:00,93,40.52,-107.55,278.75,1.31
542,36,PE,2018-10-09 00:39:03,100,-11.41,-69.49,296.906,1.16
543,75,RU,2018-10-09 00:00:00,81,59.77,30.8,280.15,3.0
544,80,AU,2018-10-09 00:41:59,50,-23.53,148.16,298.556,4.76
545,64,PG,2018-10-09 00:41:59,100,-10.62,150.67,298.606,3.91
546,24,PE,2018-10-09 00:41:59,86,-9.08,-78.59,290.656,2.96
547,0,YE,2018-10-09 00:40:55,73,13.06,44.88,287.706,1.16
548,40,ES,2018-10-09 00:30:00,47,28.68,-17.76,299.15,5.1
549,92,NO,2018-10-09 00:20:00,93,62.91,6.91,282.15,2.6
550,0,ML,2018-10-09 00:42:02,24,18.44,1.41,296.756,2.51
551,56,AR,2018-10-09 00:42:03,33,-36.62,-64.29,291.206,2.66
552,0,BY,2018-10-09 00:42:03,85,52.21,24.36,275.306,1.31
553,75,IS,2018-10-09 00:00:00,74,64.54,-21.92,275.15,4.1
554,24,CN,2018-10-09 00:49:14,59,42.27,118.96,274.706,3.06
555,0,KZ,2018-10-09 00:42:04,76,45.32,55.19,277.156,3.66
556,44,AE,2018-10-09 00:00:00,70,24.47,54.37,302.15,1.5
557,80,GH,2018-10-09 00:42:05,97,5.26,-0.76,297.406,2.66
558,90,UA,2018-10-09 00:00:00,93,50.72,30.95,281.15,6.0
559,90,FR,2018-10-09 00:30:00,100,43.72,0.65,286.15,1.0
560,75,CA,2018-10-09 00:00:00,80,50.23,-63.6,277.15,5.1
561,92,PH,2018-10-09 00:42:06,100,13.56,123.37,298.956,1.76
562,56,MZ,2018-10-09 00:42:07,98,-16.84,36.99,291.656,2.06
563,8,ID,2018-10-09 00:42:07,90,-3.75,103.64,296.656,1.81
564,20,PT,2018-10-09 00:00:00,83,38.73,-27.07,294.15,5.91
